Segment,RMS,SpectralCentroid,NoteType
285,0.09062699937411091,69.78693298000677,Hold
290,0.11110216453063373,62.9962115792441,Tap
292,0.10370392812307273,62.19569681606408,Tap
294,0.11182572038887982,61.75617896730048,Tap
296,0.101101586368283,65.48197746032149,Tap
297,0.09249571806674874,66.30820151174814,Hold
300,0.07618711056584963,66.88095543293744,Hold
303,0.0880671400562875,72.63343015885718,Hold
306,0.08493596453616335,66.17350785437138,Hold
309,0.09136530605347416,64.25253452574128,Hold
312,0.10554800189554549,62.548184313617774,Tap
313,0.10219459859512786,59.44699929105784,Tap
314,0.09961601219730815,61.56885297255138,Hold
317,0.09121163634694614,61.34159770261238,Hold
320,0.09375554135004317,53.0237887602147,Hold
323,0.08529052816269249,58.90950891520184,Hold
326,0.07963162110273218,60.27492693032355,Hold
329,0.10369529961817783,66.03748384298011,Tap
330,0.07658777566922843,61.88774537311935,Hold
333,0.07307951835457112,67.93483950132348,Hold
336,0.08660316306197033,67.9789251692086,Hold
345,0.0739330144292554,66.20567919465623,Hold
348,0.073576051448054,63.367795281871786,Hold
351,0.07902096752071255,63.998572965008755,Hold
355,0.10903293014280978,66.76647349721681,Tap
356,0.09749355416840098,68.12903461075565,Hold
360,0.11114465349725863,60.709942552831585,Tap
364,0.08524483143273229,72.76916578370916,Hold
367,0.07321188084906562,71.63858783560025,Hold
383,0.09603169983626304,61.59403371786972,Hold
386,0.08365495989605526,64.14976542610776,Hold
389,0.08344913092150434,61.3601558575273,Hold
392,0.07156500269697509,63.018462329176316,Hold
403,0.08515824661598677,53.04429236391648,Hold
406,0.09991774880175057,57.371660255901794,Hold
409,0.07728678741890357,50.01864879405915,Hold
415,0.07885674251111224,66.53861450320143,Hold
418,0.09235064281689306,52.7441370329353,Hold
421,0.08057004650676611,58.57231774725065,Hold
425,0.1068696864302164,65.43343640754891,Tap
426,0.12021287520387051,67.5909940246272,Tap
427,0.07265561805467698,75.22678433005188,Hold
433,0.07449294952751684,75.62107286680703,Hold
441,0.0983469841531361,65.33341494639595,Hold
444,0.08533997770022779,59.10984762419166,Hold
447,0.07645084514802479,58.67621460442861,Hold
450,0.08796234682135796,59.387511968718265,Hold
453,0.08700636751495713,56.29704095747384,Hold
468,0.07544841077356557,58.373292938327204,Hold
476,0.07367590777330493,60.62389460860386,Hold
495,0.10954540178245467,54.92119589641177,Tap
498,0.10437666013646155,68.31012016106747,Tap
499,0.08562808066072443,75.61871337111587,Hold
504,0.1109791935205778,68.44232582223944,Tap
507,0.10224239510055733,61.12393509588787,Tap
508,0.08831350776932871,68.33116278727812,Hold
511,0.09896821939260902,69.85805643574771,Hold
514,0.09537392912228768,61.12880481669329,Hold
522,0.09266597196336636,50.82817235173522,Hold
525,0.09600768703656684,47.66485240811947,Hold
528,0.08735130627169584,63.37140378714656,Hold
531,0.10906815994804636,53.35613581386836,Tap
539,0.1213225755780743,63.76992443177441,Tap
540,0.11583983849782031,60.09235570320922,Tap
541,0.10844521014895155,62.00188338800198,Tap
542,0.12959205668643015,49.89439781224637,Tap
543,0.07248583891933533,52.66302496497436,Hold
548,0.11310152046894094,65.7403009651632,Tap
556,0.10257875658323422,62.99812227121626,Tap
557,0.0904073732656699,62.30047491975761,Hold
560,0.07434435776084415,72.26388209258724,Hold
565,0.1088417143511488,51.777393033388485,Tap
566,0.07853682471259046,70.70979467539362,Hold
569,0.07020363345814215,76.81933276853002,Hold
574,0.10532830349102297,74.0178226219222,Tap
583,0.10344049947526451,71.68498800327185,Tap
584,0.10308865035189319,69.37542830195663,Tap
586,0.10465060010653326,63.34880283544871,Tap
588,0.07158912509268539,60.617219939592786,Hold
592,0.10894867286432686,65.56715097731957,Tap
593,0.07797837622015456,69.64841147634507,Hold
596,0.07055420181160967,64.55012647427723,Hold
600,0.12907203719553506,47.931634248402425,Tap
605,0.09396208100943972,46.75357741509486,Hold
608,0.07509074850342813,60.10346737231412,Hold
618,0.11697799941393723,63.595086256902604,Tap
621,0.10064549766041415,46.38086723751035,Tap
626,0.13238036140965617,48.520947285464885,Tap
627,0.08775896817328317,57.80173899607356,Hold
630,0.11173647927151766,48.33218323531835,Tap
635,0.11005203749446488,48.513163321242445,Tap
644,0.10188382549378261,65.52162122021093,Tap
652,0.11304850656302393,57.514596186286745,Tap
653,0.12330943227998616,62.30422960153406,Tap
654,0.11917087701681495,59.69142430028841,Tap
657,0.10406097692159152,35.56096764632318,Tap
658,0.10278051644264037,37.68530063442928,Tap
659,0.0819971942019426,67.63886243988688,Hold
662,0.10645029158331272,53.07391606685263,Tap
663,0.07533952401066892,62.3526618924131,Hold
666,0.07560045237386884,52.153805388919835,Hold
670,0.104005001014413,44.03027925365548,Tap
671,0.10774778338414805,41.02688567191929,Tap
673,0.11356571103226444,33.27297682098235,Tap
674,0.07643113219953604,44.7213013321923,Hold
679,0.08032161086576328,62.19834913523686,Hold
687,0.10997654686081074,65.40901638157656,Tap
690,0.10945449819890748,59.58746985745395,Tap
691,0.09022760938795223,60.20609782947889,Hold
696,0.10695367854635299,62.85175918894266,Tap
697,0.09505470294325354,56.43607653885102,Hold
700,0.07528740776071924,55.98567964583877,Hold
705,0.12144785357587891,53.83473147898562,Tap
706,0.10187601513780296,58.24662862674543,Tap
708,0.10597943088686729,57.46912050253295,Tap
709,0.09129548624264355,69.46717300956286,Hold
712,0.09542858800638558,74.19117981653721,Hold
715,0.07778228641083128,74.79932174676986,Hold
722,0.10638112749443768,66.48816166393055,Tap
726,0.11727076658685588,51.34209936577513,Tap
